Epic,Name,Price(p),Change,% Change,30day %,Market Cap(m),,,,,,
SOPH,Sophos Group,366.80,6.80,1.89,0.71,1820.98
SPD,Sports Direct International,247.45,2.05,0.84,-15.52,1295.17
SPT,Spirent Communications,115.10,-0.70,-0.60,-10.22,713.29
SRP,Serco Group,99.65,1.55,1.58,14.28,1074.95
SSON,SMITHSON INVESTMENT TRUST PLC ORD 1P,1006.50,-13.50,-1.32,-3.59,0.00
SSPG,SSP Group,649.80,6.30,0.98,1.93,3075.42
STOB,Stobart Group,149.40,-1.00,-0.66,-8.68,548.15
SVS,Savills,715.25,7.25,1.02,0.81,1004.75
SXS,Spectris,2209.00,21.00,0.96,-11.14,2615.90
SXX,Sirius Minerals,21.10,0.08,0.38,-5.13,1020.81
SYNC,Syncona,268.00,6.00,2.29,0.75,1762.16
SYNT,Synthomer,354.00,5.60,1.61,-9.32,1206.92
TALK,TalkTalk Telecom Group,114.25,1.05,0.93,-8.01,1316.49
TATE,Tate & Lyle,667.00,-1.00,-0.15,-3.97,3107.60
TBCG,TBC Bank Group,1479.00,23.00,1.58,1.30,823.97
TCAP,TP Icap,306.90,3.90,1.29,2.30,1689.16
TED,Ted Baker,1560.00,3.00,0.19,6.34,711.64
TEM,Templeton Emerging Markets Investment Trust,682.00,4.00,0.59,-3.26,1737.43
TEP,Telecom plus,1470.00,14.00,0.96,6.99,1113.45
TIFS,Ti Fluid Systems Ord 1p Wi,161.85,-1.15,-0.71,-14.82,848.22
TLW,Tullow Oil,189.30,6.75,3.70,-0.21,2535.56
TMPL,Temple Bar Investment Trust,1160.00,12.00,1.05,-1.69,771.04
TPK,Travis Perkins,1075.50,21.50,2.04,-5.58,2692.90
TRIG,The Renewables Infrastructure Group,113.50,0.10,0.09,1.52,1336.28
TRY,TR Property Investment Trust,363.50,7.00,1.96,-4.34,1136.12
UDG,UDG Healthcare,603.25,3.75,0.63,-6.11,1483.57
UKCM,UK Commercial Property Trust,83.10,0.40,0.48,1.71,1071.37
UKW,Greencoat UK Wind,128.00,0.40,0.31,0.16,1440.34
ULE,Ultra Electronics Holdings,1299.50,21.50,1.68,-5.01,911.60
UTG,Unite Group,812.25,6.25,0.78,-2.32,2129.20
VCT,Victrex,2260.00,88.00,4.05,-1.91,1930.28
VEIL,Vietnam Enterprise Investments,446.00,-2.00,-0.45,-3.04,991.40
VOF,VinaCapital Vietnam Opp. Fund,331.00,-2.00,-0.60,-2.65,622.05
VSVS,Vesuvius,491.10,11.10,2.31,-2.37,1358.10
VVO,Vivo Energy,120.61,-5.51,-4.37,5.04,0.00
WEIR,Weir Group,1289.00,44.50,3.58,-10.24,3341.49
WIZZ,Wizz Air Holdings,2792.00,15.00,0.54,-4.15,1997.97
WKP,Workspace Group,818.75,-0.25,-0.03,-2.53,1446.65
WMH,William Hill,161.53,3.43,2.17,-0.69,1362.61
WPCT,Woodford Patient Capital Trust,82.80,0.30,0.36,-6.55,685.58
WTAN,Witan Investment Trust,971.50,6.50,0.67,-4.94,1725.96
WWH,Worldwide Healthcare Trust,2405.00,2.98,0.12,-10.43,1243.83
